section,title,description,punishment,example_incidents
"101","Punishment for murder","Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.","Death or imprisonment for life and fine","A person intentionally kills another person; A contract killer murders someone for money"
"102","Punishment for murder by life-convict","When any person who is a life convict commits murder, he shall be punished with death or imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life, and shall also be liable to fine.","Death or imprisonment for natural life and fine","A prisoner serving life sentence kills another inmate"
"103","Punishment for murder by a group of persons","When a group of five or more persons acting in concert commits murder on the ground of race, caste or community, sex, place of birth, language, personal belief or any other ground, each member of such group shall be punishable with death or with imprisonment for life, and shall also be liable to fine.","Death or imprisonment for life and fine","A mob lynches a person based on caste; A group targets someone based on religion"
"104","Causing death by negligence","Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","A doctor's negligence causes patient's death; Reckless driving causes fatal accident"
"105","Causing death by negligence in discharge of professional duty","Whoever, being a registered medical practitioner, causes the death of any person by a rash or negligent act not amounting to culpable homicide, which act was done in the discharge of his professional duty, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.","Imprisonment up to 5 years and fine","A surgeon leaves a surgical instrument inside a patient; Wrong medication leads to patient's death"
"106","Causing death by rash or negligent driving","Whoever causes the death of any person by doing any rash or negligent act not amounting to culpability, while driving or riding any vehicle, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.","Imprisonment up to 5 years, or fine, or both","Drunk driving causes fatal accident; Speeding leads to pedestrian death"
"107","Causing death by rash or negligent act not amounting to culpable homicide","Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Negligent handling of electrical wires causes electrocution"
"108","Causing death by negligence relating to rash or negligent navigation of vessel","Whoever causes the death of any person by rash or negligent navigation of any vessel, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.","Imprisonment up to 5 years, or fine, or both","Boat capsize due to overloading; Ship accident due to negligence"
"109","Causing death by negligence relating to aircraft","Whoever causes the death of any person by rash or negligent act or omission in respect of any aircraft, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.","Imprisonment up to 5 years, or fine, or both","Aircraft crash due to poor maintenance; Pilot error causes fatal accident"
"110","Causing death by negligence relating to railway operations","Whoever causes the death of any person by rash or negligent act or omission in respect of any railway, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.","Imprisonment up to 5 years, or fine, or both","Train accident due to signal failure; Railway crossing accident due to negligence"
"111","Causing death by negligence relating to rash or negligent conduct with respect to machinery","Whoever causes the death of any person by doing any rash or negligent act in respect of any machinery, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Factory accident due to unguarded machinery; Construction site fatality due to equipment failure"
"112","Causing death by negligence relating to poisonous substance","Whoever causes the death of any person by doing any rash or negligent act with any poisonous substance, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Imprisonment up to 2 years, or fine, or both","Food poisoning from contaminated food; Toxic gas leak due to negligence"
